Class,Description,Number
0,"NILUG 2M, IAF TEB, RWY 01L",2393
1,"NILUG 2M, IAF TEB, RWY 01R",2869
2,"NILUG 2S, IAF TEB, RWY 08",27
3,"NILUG 2P, IAF ERK, RWY 26",1793
4,"NILUG 2T, IAF TEB, RWY 19R",702
5,"NILUG 2T, DETOUR, RWY 19R",39
6,"NILUG 2T, IAF TEB, RWY 19L",2591
7,"HMR 5M, IAF TEB, RWY 01L",521
8,"HMR 5M, IAF TEB, RWY 01R",1095
9,"HMR 5S, IAF TEB, RWY 08",3
10,"HMR 4P, IAF ERK, RWY 26",641
11,"HMR 4T, IAF ERK, RWY 19R",147
12,"HMR 4T, IAF ERK, RWY 19L",1183
13,"ELTOK 7M, IAF LNA, RWY 01L",1462
14,"ELTOK 7M, IAF LNA, RWY 01R",1991
15,"ELTOK 7S, IAF BALVI, RWY 08",17
16,"ELTOK 7P, DETOUR, RWY 26",95
17,"ELTOK 7P, IAF BALVI, RWY 26",1501
18,"ELTOK 4T, IAF ERK, RWY 19R",643
19,"ELTOK 4T, IAF ERK, RWY 19L",2349
20,"XILAN 4M, IAF TEB, RWY 01L",928
21,"XILAN 4M, IAF TEB, RWY 01R",1260
22,"XILAN 4S, IAF TEB, RWY 08",14
23,"XILAN 5P, IAF ERK, RWY 26",928
24,"XILAN 5T, IAF TEB, RWY 19R",272
25,"XILAN 5T, IAF TEB, RWY 19L",1361
TOTAL,,26825
